Event(59)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(59), startTime=660, timeWindow=810 +  || P: 0 Source: null]
Event(64)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(64), startTime=660, timeWindow=795 +  || P: 0 Source: null]
Event(70)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(70), startTime=660, timeWindow=750 +  || P: 0 Source: null]
Event(72)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(72), startTime=660, timeWindow=780 +  || P: 0 Source: null]
Event(75)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(75), startTime=660, timeWindow=720 +  || P: 0 Source: null]
Event(78)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(78), startTime=660, timeWindow=795 +  || P: 0 Source: null]
Event(81)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(81), startTime=660, timeWindow=780 +  || P: 0 Source: null]
Event(7)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(7), startTime=960, timeWindow=1125 +  || P: 0 Source: null]
Event(28)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(28), startTime=960, timeWindow=1155 +  || P: 0 Source: null]
Event(32)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(32), startTime=960, timeWindow=1170 +  || P: 0 Source: null]
Event(36)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(36), startTime=960, timeWindow=1155 +  || P: 0 Source: null]
Event(46)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(46), startTime=960, timeWindow=1155 +  || P: 0 Source: null]
Event(51)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(51), startTime=960, timeWindow=1155 +  || P: 0 Source: null]
Event(60)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(60), startTime=960, timeWindow=1170 +  || P: 0 Source: null]
Event(61)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(61), startTime=960, timeWindow=1170 +  || P: 0 Source: null]
Event(65)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(65), startTime=960, timeWindow=1155 +  || P: 0 Source: null]
Event(67)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(67), startTime=960, timeWindow=1155 +  || P: 0 Source: null]
Event(71)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(71), startTime=960, timeWindow=1155 +  || P: 0 Source: null]
Event(79)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(79), startTime=960, timeWindow=1155 +  || P: 0 Source: null]
Event(84)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(84), startTime=960, timeWindow=1155 +  || P: 0 Source: null]
